Running backward index-based scan on one thread.
Cache line size 64 B, max memory size 256 MiB.
Performing 10000000 accesses per size.

Thread, Mem size (MiB), Access latency (ns)
0, 0.00049, 0.263
0, 0.00098, 0.307
0, 0.00195, 0.261
0, 0.00293, 0.255
0, 0.00391, 0.262
0, 0.00586, 0.293
0, 0.00781, 0.357
0, 0.01172, 0.341
0, 0.01562, 0.346
0, 0.02344, 0.333
0, 0.03125, 0.330
0, 0.04688, 0.325
0, 0.06250, 0.319
0, 0.09375, 0.317
0, 0.12500, 0.318
0, 0.18750, 0.314
0, 0.25000, 0.317
0, 0.37500, 0.311
0, 0.50000, 0.347
0, 0.75000, 0.408
0, 1.00000, 0.468
0, 1.50000, 0.588
0, 2.00000, 0.669
0, 3.00000, 0.709
0, 4.00000, 0.719
0, 6.00000, 0.739
0, 8.00000, 0.871
0, 12.00000, 1.348
0, 16.00000, 1.611
0, 24.00000, 1.982
0, 32.00000, 2.117
0, 48.00000, 2.282
0, 64.00000, 2.340
0, 96.00000, 2.402
0, 128.00000, 2.607
0, 192.00000, 2.445
0, 256.00000, 2.437
