Running backward index-based scan on one thread.
Cache line size 64 B, max memory size 256 MiB.
Performing 10000000 accesses per size.

Thread, Mem size (MiB), Access latency (ns)
0, 0.00049, 0.314
0, 0.00098, 0.289
0, 0.00195, 0.252
0, 0.00293, 0.346
0, 0.00391, 0.333
0, 0.00586, 0.255
0, 0.00781, 0.253
0, 0.01172, 0.249
0, 0.01562, 0.425
0, 0.02344, 0.387
0, 0.03125, 0.367
0, 0.04688, 0.354
0, 0.06250, 0.441
0, 0.09375, 0.467
0, 0.12500, 0.462
0, 0.18750, 0.464
0, 0.25000, 0.466
0, 0.37500, 0.467
0, 0.50000, 0.468
0, 0.75000, 0.471
0, 1.00000, 0.501
0, 1.50000, 1.280
0, 2.00000, 1.709
0, 3.00000, 1.904
0, 4.00000, 2.214
0, 6.00000, 2.748
0, 8.00000, 2.305
0, 12.00000, 3.307
0, 16.00000, 3.801
0, 24.00000, 4.344
0, 32.00000, 4.591
0, 48.00000, 4.906
0, 64.00000, 5.206
0, 96.00000, 5.697
0, 128.00000, 5.747
0, 192.00000, 5.766
0, 256.00000, 5.841
